id;status;level;trainer;active_from;activeto
1;chilly wonderful;if;after outside;2024-01-16T17:31:08;2024-01-16T08:59:32
2;supposing antique;sleepily foster phooey;jealousy point stream;2024-01-16T16:21:52;2024-01-16T11:32:25
3;rehouse regurgitate wary;courageously remorseful tide;gee duh;2024-01-16T18:43:31;2024-01-16T04:58:25
4;signature;jumble now lest;near furthermore;2024-01-16T12:23:24;2024-01-16T19:07:49
5;ew tax;gee cruelly dutiful;notwithstanding however;2024-01-16T05:11:13;2024-01-16T04:01:01
6;whose couple;or;onto cute;2024-01-16T15:32:27;2024-01-16T05:57:21
7;official;even;alcohol as beside;2024-01-16T10:36:25;2024-01-16T16:06:05
8;hug;fooey though;hm;2024-01-16T16:54:39;2024-01-16T15:56:04
9;intensely consequently strictly;stream out wasteful;blanket;2024-01-16T18:58:01;2024-01-16T10:50:36
10;gosh however;alongside;behind;2024-01-16T09:29:48;2024-01-16T19:32:20
