id;jhi_key;shift_start;shift_end;type
1;12950;2024-01-16T12:27:33;2024-01-17T00:41:37;defenseless versus
2;15656;2024-01-16T20:50:58;2024-01-16T23:52:49;who
3;17458;2024-01-16T18:48:49;2024-01-16T22:10:00;beneficiary ouch qualified
4;6569;2024-01-16T17:33:32;2024-01-16T08:00:58;yippee between
5;8970;2024-01-16T09:42:29;2024-01-16T11:15:58;till
6;7685;2024-01-16T08:26:53;2024-01-16T13:13:13;edge
7;8470;2024-01-16T09:15:48;2024-01-16T19:28:57;obnoxiously high-level
8;3064;2024-01-16T04:31:12;2024-01-16T13:50:36;wherever furthermore
9;4802;2024-01-16T21:27:04;2024-01-16T04:50:02;as though via
10;12821;2024-01-16T16:45:39;2024-01-16T09:18:23;contrast
