id;jhi_key;shift_start;shift_end;type
1;25630;2024-01-16T23:16:14;2024-01-16T21:54:57;before
2;27479;2024-01-16T22:51:26;2024-01-16T11:59:08;control
3;13319;2024-01-16T09:57:44;2024-01-16T22:39:23;whereas willfully
4;17118;2024-01-16T22:31:10;2024-01-16T21:43:56;athwart
5;31058;2024-01-16T19:08:34;2024-01-16T07:30:19;supposing phew
6;26940;2024-01-16T07:49:09;2024-01-16T14:52:29;foolhardy
7;19321;2024-01-16T04:31:41;2024-01-16T19:20:14;impassioned yum
8;17478;2024-01-16T12:10:18;2024-01-16T20:37:39;quicker fairly
9;9692;2024-01-16T10:27:11;2024-01-16T20:51:03;difficult
10;28044;2024-01-16T09:53:16;2024-01-16T11:48:22;surprised vintner
